EmailText,IsSpam
"Win a free iPhone now click here",1
"Meeting scheduled for tomorrow at 10am",0
"Congratulations you won $1000 prize",1
"Please review the attached project report",0
"Get rich quick with this one simple trick",1
"Team lunch at noon in the cafeteria",0
"Claim your free vacation package today",1
"Can you send me the quarterly sales data",0
"You have been selected for a cash prize",1
"Let us discuss the new feature requirements",0
"Buy cheap medicine online without prescription",1
"Updated the pull request with your feedback",0
"Limited time offer 90 percent off everything",1
"The deployment is scheduled for Friday evening",0
"Make money fast from home guaranteed income",1
"Please approve the budget for Q3 campaign",0
"Free credit score check no obligation required",1
"Sprint retrospective meeting notes attached below",0
"Exclusive deal just for you act now hurry",1
"Code review comments on the authentication module",0
"Lose weight fast with miracle diet pills",1
"Can we reschedule the client call to Thursday",0
"Nigerian prince needs your help urgent response needed",1
"The database migration script is ready for testing",0
"You are a lucky winner claim reward now",1
"Project status update everything is on track",0
"Double your investment guaranteed returns risk free",1
"New hire orientation scheduled for next Monday",0
"Click here to verify your bank account details",1
"Great job on the presentation today well done",0
